Title,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Duration,Level
meta android developer professional certificate,computer science,mobile web development,professional certificate,english,subtitle english,android studio application development mobile development linux web development bash unix shell github version control create array kotlin playground create control flow pattern using conditionals loop practice using extending protocols. declare initialize different type variable web design front-end web development user experience ux accessibility use ui component library build android ui create simple android ui compose ui using kotlin ui view build simple ui using layout editor working sqlite rest api 's data database • create simple javascript code • create manipulate object array • write unit testing using jest web application react web framework react javascript library react kotlin ux ui pseudocode algorithm communication data structure computer science,taught meta staff,8 month 7 hour week,
meta database engineer professional certificate,information technology,data management,professional certificate,english,subtitle english,sql python syntax database management database administration mysql tabular record,taught meta staff,6 month 6 hour week,
análisis de datos de google professional certificate,ciencia de datos,análisis de datos,professional certificate,spanish,subtitle spanish english,visualización de datos dataviz limpieza de datos hoja de cálculo análisis de datos sql cuestionamiento resolución de problemas toma de decisiones recopilación de datos metadatos ética de datos determinación del tamaño de la muestra integridad de datos cálculos en torno los datos agregación de datos tableau software presentación programación en r r markdown rstudio portfolio de trabajo caso práctico,google career certificate,6 month 10 hour week,
sap technology consultant professional certificate,business,leadership management,professional certificate,english,subtitle english,client engagement communication launch develop sap career business process analysis solution design implementation understanding sap world solution,martin gollogly,7 month 3 hour week,
gestión de proyectos de google professional certificate,negocios,liderazgo gestión,professional certificate,spanish,subtitle spanish english,gestión de proyectos cultura de la organización pensamiento estratégico desarrollo profesional gestión de cambios estatuto del proyecto redacción de negocios gestión de los interesados gestión de riesgos adquisiciones planificación de proyectos estimación de tareas gestión de calidad ejecución del proyecto influencia asesoramiento resolución de problemas gestión con la metodología agile scrum comunicación efectiva,google career certificate,6 month 10 hour week,
aws cloud solution architect professional certificate,information technology,cloud computing,professional certificate,english,subtitle english,aws certification preparation cloud architecture architecting aws data lake aws management console,morgan willis,5 month 4 hour week,
arizona state university tesol professional certificate,language learning,learning english,professional certificate,english,subtitle english arabic,efl english language tesol esl english language teaching,emilia gracia,12 month 4 hour week,
salesforce sale operation professional certificate,business,business essential,professional certificate,english,subtitle english,crm sale operation salesforce lightning sale salesforce,trailhead,4 month 7 hour week,
diseño de experiencia del usuario ux de google professional certificate,ciencias de la computación,diseño producto,professional certificate,spanish,subtitle spanish english,experiencia del usuario ux esquema diseño de la experiencia del usuario uxd investigación en ux prototipo esquema de página pruebas de usabilidad maqueta figma adobe xd trabajos de diseño de ux,google career certificate,6 month 10 hour week,
preparing google cloud certification machine learning engineer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english,google cloud machine learning feature engineering tensorflow cloud computing,google cloud training,7 month 5 hour week,
preparing google cloud certification cloud data engineer professional certificate,data science,machine learning,professional certificate,english,subtitle english french,information engineering google cloud bigquery tensorflow cloud computing,google cloud training,5 month 3 hour week,
preparing google cloud certification cloud architect professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,google compute engine google app engine gae google cloud platform cloud computing virtual machine network architecture debugging cloud storage data store load balancing virtual private network vpn autoscaling disaster recovery site reliability engineering,google cloud training,5 month 3 hour week,
google data analytics pt professional certificate,data science,data analysis,professional certificate,portuguese brazilian,subtitle portuguese brazilian english,visualização de dado dataviz limpeza de dado planilha sql análise do dado análise de dado questionamento solução de problemas tomada de decisões metadados ética em dado coleta de dado integridade do dado determinação tamanho da amostra cálculos de dado agregação de dado apresentação software tableau programação em r r markdown rstudio estudo de caso portfólio profissional,google career certificate,6 month 10 hour week,
preparing google cloud certification cloud engineer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,google compute engine google app engine gae google cloud platform cloud computing virtual machine network architecture debugging cloud storage data store load balancing virtual private network vpn autoscaling google cloud gcp infrastructure gcp ace certification,google cloud training,6 month 2 hour week,
análise de marketing da meta professional certificate,negócios,marketing,professional certificate,english,subtitle english spanish,marketing strategy data analysis marketing mix optimization statistic marketing advertising effectiveness evaluation,anke audenaert,6 month 4 hour week,
preparing google cloud certification cloud devops engineer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,google compute engine google app engine gae google cloud platform cloud computing sre culture business value organizational culture disaster recovery site reliability engineering continuous delivery kubernetes jenkins software,google cloud training,5 month 3 hour week,
preparing google cloud certification cloud developer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,debugging google cloud platform cloud storage application development cloud computing,google cloud training,2 month 5 hour week,
preparing google cloud certification cloud security engineer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,google compute engine google app engine gae google cloud platform cloud computing create understand custom iam role secure kubernetes environment create configure network peering,google cloud training,11 month 1 hour week,
preparing google cloud certification cloud network engineer professional certificate,information technology,cloud computing,professional certificate,english,subtitle english french,google compute engine google app engine gae google cloud platform cloud computing,google cloud training,6 month 1 hour week,
pwc gst taxation executive professional certificate,business,finance,professional certificate,english,subtitle english,e-invoicing e-way bill gst technical gst compliance return filing gst law registration reconciliation,tax academy,3 month 10 hour week,
salesforce sale development representative professional certificate,business,business essential,professional certificate,english,subtitle english arabic,sale development interviewing sale time management cold calling,ernest owusu,6 month 5 hour week,
sa programmer professional certificate,data science,data analysis,professional certificate,english,subtitle english arabic,sa studio import data report prepare data sa program,stacey syphus,5 month 4 hour week,
google ux design pt professional certificate,computer science,design product,professional certificate,portuguese brazilian,subtitle portuguese brazilian english,pesquisa de ux design de experiência usuário uxd wireframe prototipo experiência usuário ux testagem de usabilidade maquete figma adobe xd empregos em design de ux,google career certificate,6 month 10 hour week,
google project management pt professional certificate,business,leadership management,professional certificate,portuguese brazilian,subtitle portuguese brazilian english,cultura organizacional gestão de mudança gerenciamento de projetos desenvolvimento de carreira pensamento estratégico escrita de negócios termo de abertura projeto compras gestão de riscos planejamento de projetos estimativa de tarefas gerenciamento da qualidade gerenciamento de riscos execução de projetos coaching influencia gerenciamento agile solução de problemas scrum comunicação eficaz gerenciamento da partes interessadas,google career certificate,6 month 10 hour week,
microsoft azure data scientist associate dp-100 professional certificate,computer science,software development,professional certificate,english,subtitle english,manage azure resource machine learning deploy operationalize machine learning solution run experiment train model implement responsible machine learning,microsoft,6 month 4 hour week,
google data analytics professional certificate,data science,data analysis,professional certificate,french,subtitle french,tableurs visualisation de données dataviz sql nettoyage de données analyse de donnees prise de décision résolution de problèmes questionnement collecte de données éthique de données métadonnées détermination de la taille ’ échantillon feuille de calcul intégrité de données analyse de données agrégation de données calculs de données presentation logiciel tableau programmation r r markdown rstudio portfolio pour la recherche d'emploi étude de ca,google career certificate,9 month 5 hour week,
google project management professional certificate,business,leadership management,professional certificate,french,subtitle french,gestion du changement gestion de projets réflexion stratégique culture organisationnelle perfectionnement professionnel charte de projet gestion de projet gestion de party prenantes écriture commerciale gestion de risques planification de projet approvisionnement estimation de la tâche exécution du projet gestion de la qualité coaching gestion agile influencer marketing résolution de problèmes scrum gestion de partenaires communication efficace,google career certificate,7 month 5 hour week,
google データアナリティクス professional certificate,データサイエンス,データ分析,professional certificate,japanese,subtitle japanese english,ビジュアライゼーション,google career certificate,6 month 10 hour week,
tally bookkeeper professional certificate,business,finance,professional certificate,english,subtitle english,bookkeeping business accounting tally prime banking finance,tally education pvt ltd,4 month 10 hour week,
تحليلات البيانات من google professional certificate,data science,data analysis,professional certificate,arabic,subtitle arabic,دول البيانات مؤثرات عرض البيانات dataviz تنظيف البيانات sql تحليل البيانات طرح الأسئلة جدول البيانات عملية اتخاذ القرار حل المشكلات أخلاقيات البيانات جمع البيانات بيانات التعريف سلامة البيانات نظيف البيانات تحديد حجم العينة تجميع البيانات العمليات الحسابية للبيانات تحليلات البيانات العرض التقديمي برنامج tableau r markdown لغة البرمجة r rstudio محفظة الوظائف دراسة الحالة,google career certificate,9 month 5 hour week,
sa visual business analytics professional certificate,data science,data analysis,professional certificate,english,subtitle english,business analytics sa va sa visual analytics,nicole ball,2 month 4 hour week,
google ux design professional certificate,computer science,design product,professional certificate,french,subtitle french,maquette fonctionnelle expérience utilisateur ux conception expérience utilisateur uxd prototype recherche ux armature conception de l ’ expérience utilisateur uxd test de la facilité ’ utilisation figma maquette adobe xd test ’ utilisabilité test de facilité ’ utilisation emplois de conception ux.,google career certificate,8 month 6 hour week,
palo alto network cybersecurity professional certificate,information technology,security,professional certificate,english,subtitle english,managing encrypting zero-trust environment deploying vpns ssl/ssh encryption analyzing firewall log configuring security control configuring network protection dynamic routing using firewall mitigating vulnerability using packet capture analysis,james dalton,6 month 2 hour week,
google support deutsch professional certificate,information technology,support operation,professional certificate,german,subtitle german arabic,debugging customer service network protocol encryption algorithm cloud computing,google career certificate,6 month 10 hour week,
google support professional certificate,information technology,support operation,professional certificate,french,subtitle french arabic,service client débogage cloud computing. algorithmes et technique de chiffrement protocoles réseau,google career certificate,8 month 5 hour week,
google project management de professional certificate,business,leadership management,professional certificate,german,subtitle german english,projektmanagement strategisches denken veränderungsmanagement karriereentwicklung organisationskultur stakeholder-management business writing projektcharta aufgabenschätzung projektplanung risikomanagement beschaffung projektabwicklung qualitätsmanagement • problemlösung • scrum • agiles management • einflussnahme • coaching problemlösung effektive kommunikation,google career certificate,6 month 10 hour week,
marketing en redes sociales de meta professional certificate,business,marketing,professional certificate,spanish,subtitle spanish english,publicidad de rendimiento marketing en redes sociales marketing digital gestión de marcas marketing de contenidos,anke audenaert,7 month 2 hour week,
preparing google cloud certification cloud data engineer professional certificate 日本語版 professional certificate,data science,machine learning,professional certificate,japanese,subtitle japanese english,tensorflow bigquery google cloud platform cloud computing,google cloud training,7 month 3 hour week,
analitik data google professional certificate,data science,data analysis,professional certificate,indonesian,subtitle indonesian english,analisis data visualisasi data dataviz pembersihan data sql aplikasi spreadsheet spreadsheet pengambilan keputusan mengajukan pertanyaan pemecahan masalah pengumpulan data metadata etika data sample size determination penentuan ukuran sampel data integrity integritas data data cleansing pembersihan data agregasi data kalkulasi data perangkat lunak tableau presentasi pemrograman r r markdown rstudio studi kasus portofolio kerja,google career certificate,9 month 5 hour week,
google data analytics de professional certificate,data science,data analysis,professional certificate,german,subtitle german english,datenbereinigung kalkulationstabelle datenvisualisierung dataviz datenanalyse sql entscheidungsfindung tabellenkalkulation problemlösung fragestellung datenerhebung metadaten datenethik datenintegrität bestimmung der stichprobengröße datenberechnungen tabellenkalkulation datenaggregation präsentation datenanalyse datenvisualisierung dataviz tableau-software r-programmierung rstudio r markdown fallstudie job-portfolio datenbereinigung,google career certificate,6 month 10 hour week,
ibm machine learning professional certificate,data science,machine learning,professional certificate,english,subtitle english french,artificial intelligence ai machine learning feature engineering statistical hypothesis testing exploratory data analysis regression analysis supervised learning linear regression ridge regression machine learning ml algorithm decision tree ensemble learning classification algorithm dimensionality reduction unsupervised learning cluster analysis k mean clustering principal component analysis pca deep learning artificial neural network reinforcement learning kera python programming data analysis unsupervised machine learning,joseph santarcangelo,10 month 3 hour week,
microsoft azure data engineering associate dp-203 professional certificate,data science,data analysis,professional certificate,english,subtitle english,develop azure storage develop azure compute solution connect consume azure service third-party service implement azure security monitor troubleshoot azure solution,microsoft,13 month 2 hour week,
ibm mainframe developer professional certificate,computer science,software development,professional certificate,english,subtitle english arabic,mainframe z/os enterprise software security ibm z cobol division cobol coding column structure cobol structure symbol computer programming euler 's totient function intrinsic function sorting issue tracking system scrum software development interface command-line interface,jeff bisti,3 month 10 hour week,
google cloud digital leader training professional certificate,information technology,cloud computing,professional certificate,english,subtitle english,,google cloud training,1 month 2 hour week,
ibm z/os mainframe practitioner professional certificate,information technology,data management,professional certificate,english,subtitle english arabic,linux mainframe z system security ibm z,jeff bisti,2 month 5 hour week,
soporte de tecnologías de la información de google professional certificate,information technology,support operation,professional certificate,spanish,subtitle spanish arabic,linux código binario solución de problemas soporte al cliente ipv4 sistema de nombres de dominio modelo de red powershell interfaz de comandos sistemas de archivos de linux protocolo ligero de acceso directorios respaldo servicio de directorio ciberseguridad criptografía seguridad inalámbrica seguridad de la red,google career certificate,6 month 10 hour week,
suporte em ti google professional certificate,tecnologia da informação,operações e suporte,professional certificate,portuguese brazilian,subtitle portuguese brazilian arabic,linux código binario solución de problemas soporte al cliente ipv4 resolução de problemas sistema de nome de domínio dns modelo de rede powershell sistemas de arquivos linux interface de comando serviço de diretórios backup diretórios ldap criptografía segurança de rede cibersegurança segurança de redes sem fio,google career certificate google,6 month 10 hour week,
meta ar developer professional certificate,computer science,software development,professional certificate,english,subtitle english,unity javascript coding meta spark vuforia c coding,taught meta staff,flexible schedule,
google professional workspace administrator professional certificate,computer science,computer security network,professional certificate,english,subtitle english,,google cloud training,1 month 4 hour week,
sa advanced programmer professional certificate,data science,data analysis,professional certificate,english,subtitle english arabic,,peter styliadis,4 month 4 hour week,
goodwill® career coach navigator professional certificate,social science,education,professional certificate,english,subtitle english,crisis intervention establishing trust establish coaching agreement human-centered coaching case management outreach intake gap analysis recruitment occupational guidance onboarding preparation resume preparation networking professional development research technology trend establish business partnership virtual coaching,goodwill academy,4 month 4 hour week,
base de inteligencia artificial para todos professional certificate,computer science,software development,professional certificate,spanish,subtitle spanish english,,rav ahuja antonio cangiano joseph santarcangelo tanmay bakshi,6 month 4 hour week,
desarrollador back-end de meta professional certificate,computer science,mobile web development,professional certificate,spanish,subtitle spanish,linux cloud hosting web development bash unix shell python programming application programming interface api computer programming django web framework,taught meta staff,flexible schedule,
uci project management professional certificate,business,leadership management,professional certificate,english,subtitle english russian,schedule project program management project planning,hassan kafshi margaret meloni mba pmp peter kim pmp mba shelly wright,6 month 8 hour week,
pre-mba statistic,data science,probability statistic,course,english,subtitle english,probability statistic data science data analysis general statistic,sriram sankaranarayanan,approx 23 hour complete,
automation business analysis concept principle,business,business strategy,course,english,subtitle english,process analysis business analysis elicitation technique process definition document process assessment,uipath,approx 14 hour complete,
probability statistic machine learning data science,computer science,algorithm,course,english,subtitle english,statistical analysis probability statistic probability statistical hypothesis testing machine learning ml algorithm,luis serrano,approx 12 hour complete,
excellence online teaching,social science,education,course,english,subtitle english,leveraging technology professional development building community facilitating online learning accessibility,paul huckett,approx 11 hour complete,
diversité et inclusion sur le lieu de travail,business,leadership management,course,french,subtitle french,,junko takagi,approx 10 hour complete,
blueprint success – video pre-production,personal development,personal development,course,english,subtitle english,video editing linear editing video production video pre-production,emilie johnson,approx 11 hour complete,
design thinking insight inspiration,business,business strategy,course,english,subtitle english,strategic thinking innovation innovation management design thinking,jeanne m. liedtka,approx 13 hour complete,
become cbr certified professional installer google,information technology,networking,course,english,subtitle english,,google,approx 3 hour complete,
introduction statistic,data science,data analysis,course,english,subtitle english,,guenther walther,approx 14 hour complete,
diversity inclusion workplace,business,leadership management,course,english,subtitle english,,junko takagi,approx 10 hour complete,
instructional design foundation application,social science,education,course,english,subtitle english,,eunjung grace oh,approx 13 hour complete,
project practicum multiple project,business,leadership management,course,english,subtitle english,,shelly wright,approx 48 hour complete,
science well-being teen,personal development,personal development,course,english,subtitle english,,laurie santos,approx 12 hour complete,
introduction systematic review meta-analysis,health,research,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,tianjing li md mhs phd,approx 13 hour complete,
impact measurement management sdgs,business,leadership management,course,english,subtitle english,,cathy clark,approx 9 hour complete,
introduction healthcare,health,health informatics,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,nigam shah,approx 11 hour complete,
project execution,business,leadership management,course,english,subtitle english,,peter kim pmp mba,approx 40 hour complete,
fundamental finance,business,finance,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,jessica wachter,approx 9 hour complete,
social psychology,health,psychology,course,english,subtitle chinese traditional arabic french portuguese european chinese simplified italian vietnamese tagalog korean german urdu russian english spanish hindi japanese,,scott plous,approx 37 hour complete,
primeros auxilios psicológicos pap,health,psychology,course,spanish,subtitle spanish english,,alicia álvarez,approx 15 hour complete,
ai fundamental non-data scientist,business,leadership management,course,english,subtitle english,,kartik hosanagar,approx 7 hour complete,
wine tasting sensory technique wine analysis,personal development,personal development,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,john buechsenstein,approx 14 hour complete,
cybersecurity role process operating system security,information technology,security,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,ibm security learning service,approx 10 hour complete,
introduction cybersecurity foundation,computer science,computer security network,course,english,subtitle english,,keatron evans,approx 2 hour complete,
managing emotion time uncertainty stress,social science,education,course,english,subtitle english,,marc brackett,approx 9 hour complete,
object-oriented data structure c++,computer science,software development,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,wade fagen-ulmschneider,approx 21 hour complete,
cybersecurity everyone,computer science,computer security network,course,english,subtitle english,,charles harry,approx 21 hour complete,
esg risk opportunity,business,finance,course,english,subtitle english,,witold henisz,approx 8 hour complete,
ai law,social science,law,course,english,subtitle english vietnamese,,jeffery atik,approx 21 hour complete,
removing barrier change,business,leadership management,course,english,subtitle french portuguese european vietnamese russian english spanish,,jonah berger,approx 5 hour complete,
corporate strategy,business,business strategy,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,bart vanneste,approx 10 hour complete,
managerial accounting fundamental,business,finance,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,luann j. lynch,approx 13 hour complete,
emotional intelligence cultivating immensely human interaction,business,leadership management,course,english,subtitle english,,jeffrey sanchez-burks,approx 20 hour complete,
advanced valuation strategy private equity venture capital,business,finance,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,han smit,approx 16 hour complete,
antibiotic stewardship,health,public health,course,english,subtitle french portuguese european russian english spanish,,stan deresinski md,approx 5 hour complete,
introduction dental medicine,health,basic science,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,dr. uri hangorsky,approx 10 hour complete,
driving business towards sustainable development goal,business,business essential,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,gabriele jacob,approx 15 hour complete,
positive psychiatry mental health,health,basic science,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,sonia kumar,approx 19 hour complete,
global diplomacy united nation world,social science,governance society,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese german russian english spanish japanese,,dr dan plesch soas university london,approx 12 hour complete,
étudier en france french intermediate course b1-b2,language learning,language,course,french,subtitle french,,julie andré,approx 46 hour complete,
everyday parenting abc child rearing,health,psychology,course,english,subtitle arabic french portuguese european chinese simplified greek italian vietnamese german russian english spanish,,alan e. kazdin phd abpp,approx 21 hour complete,
introduction electronics,physical science engineering,electrical engineering,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese german russian english spanish,,dr. bonnie h. ferri,approx 46 hour complete,
ai everyone （すべての人のためのaiリテラシー講座）,business,business strategy,course,japanese,subtitle japanese,,andrew ng,approx 7 hour complete,
economics money banking,social science,economics,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish japanese,,perry g mehrling,approx 32 hour complete,
introduction scrum master training,computer science,design product,course,english,subtitle english,,jim sullivan,approx 9 hour complete,
kotlin java developer,computer science,software development,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,svetlana isakova,approx 25 hour complete,
site reliability engineering measuring managing reliability,information technology,cloud computing,course,english,subtitle english spanish,,google cloud training,approx 13 hour complete,
electric industry operation market,physical science engineering,environmental science sustainability,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,lincoln pratson,approx 7 hour complete,
moral foundation politics,social science,governance society,course,english,subtitle arabic french portuguese european italian vietnamese korean german russian english spanish romanian,,ian shapiro,approx 44 hour complete,
principle sustainable finance,business,finance,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,dirk schoenmaker,approx 16 hour complete,
cybersecurity compliance framework system administration,information technology,security,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,ibm security learning service,approx 17 hour complete,
spanish successful communication healthcare setting,health,patient care,course,spanish,subtitle spanish,,maria victoria abad rabat,approx 23 hour complete,
nut bolt u.s. immigration law,social science,law,course,english,subtitle english,,fernando chang-muy,approx 10 hour complete,
introduction philosophy,art humanity,philosophy,course,english,subtitle arabic french portuguese european italian vietnamese dutch korean german russian turkish english hebrew spanish romanian,,dr. dave ward,approx 19 hour complete,
fintech foundation payment regulation,business,business essential,course,english,subtitle french portuguese european vietnamese russian english spanish,,christopher geczy,approx 6 hour complete,
sustainable development goal – global transdisciplinary vision future,social science,governance society,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese german russian english spanish,,katherine richardson,approx 10 hour complete,
american contract law,social science,law,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,ian ayres,approx 32 hour complete,
gender sexuality diversity inclusion workplace,health,psychology,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese german russian english spanish,,julie beaulieu,approx 16 hour complete,
weight management beyond balancing calorie,health,nutrition,course,english,subtitle arabic french portuguese european serbian italian vietnamese german russian english spanish romanian hungarian,,sharon horesh bergquist md,approx 17 hour complete,
understanding einstein special theory relativity,physical science engineering,physic astronomy,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,larry randles lagerstrom,approx 80 hour complete,
understanding research method,physical science engineering,research method,course,english,subtitle arabic french uzbek portuguese european serbian italian catalan vietnamese tagalog german urdu javanese russian english spanish persian,,dr j. simon rofe soas university london,approx 5 hour complete,
fundamental engineering exam review,physical science engineering,mechanical engineering,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,dr. philip robert,approx 21 hour complete,
introduction engineering mechanic,physical science engineering,mechanical engineering,course,english,subtitle arabic french portuguese european chinese simplified italian vietnamese german russian english spanish,,dr. wayne whiteman pe,approx 15 hour complete,
getting started go,computer science,software development,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,ian harris,approx 10 hour complete,
leading diverse team organization,business,leadership management,course,english,subtitle english,,lindred greer,approx 22 hour complete,
corporate sustainability understanding seizing strategic opportunity,business,business strategy,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,maurizio zollo,approx 15 hour complete,
industrial biotechnology,health,basic science,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,prof. nicholas turner,approx 11 hour complete,
suicide prevention,personal development,personal development,course,english,subtitle english,,alexis may,approx 6 hour complete,
fintech law policy,business,finance,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,lee reiners cfa,approx 11 hour complete,
u.s. taxation international transaction,business,business essential,course,english,subtitle english,,matthew hutchens,approx 13 hour complete,
introduction sustainability,physical science engineering,environmental science sustainability,course,english,subtitle tamil arabic french portuguese european chinese simplified italian portuguese brazilian vietnamese german russian english spanish,,dr. jonathan tomkin,approx 25 hour complete,
international security management,social science,governance society,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,gabriele jacob,approx 8 hour complete,
introduction chemistry reaction ratio,physical science engineering,chemistry,course,english,subtitle arabic french portuguese european italian vietnamese german russian english hebrew spanish,,prof. dorian a. canelas,approx 18 hour complete,
strategy sustainability,business,business strategy,course,english,subtitle french portuguese european russian english spanish,,mike rosenberg,approx 16 hour complete,
python basic,computer science,software development,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese korean german russian english spanish,,paul resnick,approx 34 hour complete,
l'excellence opérationnelle en pratique,business,leadership management,course,french,subtitle french,,gilles panczer,approx 9 hour complete,
ai application marketing finance,business,finance,course,english,subtitle english,,michael r robert,approx 6 hour complete,
reporting extra-financier et stratégie rse,business,leadership management,course,french,subtitle french,,thierry sibieude,approx 25 hour complete,
développement psychologique de l'enfant,health,psychology,course,french,subtitle french,,edouard gentaz,approx 22 hour complete,
business sustainability circular economy,business,business essential,course,english,subtitle english,,alan pilkington,approx 14 hour complete,
introduction system engineering,physical science engineering,electrical engineering,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,dr mike ryan,approx 22 hour complete,
african development – past present,social science,economics,course,english,subtitle english spanish swedish,,ellen hillbom,approx 27 hour complete,
corporate commercial law contract employment law,business,business essential,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,professor michael r fricke,approx 23 hour complete,
auditing conceptual foundation auditing,business,business essential,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,mark e. peecher phd cpa,approx 28 hour complete,
innovation design think make break repeat,business,entrepreneurship,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,martin tomitsch,approx 15 hour complete,
international law action arbitration international dispute,social science,law,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,eric de brabandere,approx 11 hour complete,
blockchain foundation use case,computer science,computer security network,course,english,subtitle arabic french portuguese european chinese simplified italian vietnamese german russian english spanish,,consensys academy,approx 9 hour complete,
precision medicine,health,research,course,english,subtitle french portuguese european russian english spanish,,antoine geissbuhler,approx 28 hour complete,
introduction forensic science,health,basic science,course,english,subtitle arabic french portuguese european greek italian vietnamese german russian english spanish,,roderick bates,approx 18 hour complete,
customer segmentation prospecting,business,business essential,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,craig wortmann,approx 12 hour complete,
fundamental machine learning healthcare,data science,machine learning,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,matthew lungren,approx 14 hour complete,
introduction english common law,social science,law,course,english,subtitle arabic french portuguese european chinese simplified italian vietnamese german russian english spanish hungarian,,charlotte crilly,approx 19 hour complete,
law student 's toolkit,social science,law,course,english,subtitle arabic french portuguese european chinese simplified italian vietnamese german russian english spanish,,ian ayres,approx 15 hour complete,
essential global health,health,public health,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,richard skolnik,approx 70 hour complete,
esg climate change,business,business strategy,course,english,subtitle english,,sarah light,approx 7 hour complete,
international organization management,business,leadership management,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,gilbert probst,approx 17 hour complete,
ordered data structure,computer science,software development,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,wade fagen-ulmschneider,approx 18 hour complete,
transgender medicine general medical provider,health,patient care,course,english,subtitle english,,joshua safer md,approx 6 hour complete,
malware analysis introduction assembly language,information technology,security,course,english,subtitle english,,ibm security learning service,approx 21 hour complete,
21st century energy transition make work,physical science engineering,environmental science sustainability,course,english,subtitle english,,brad hayes,approx 16 hour complete,
entrepreneurship strategy ideation exit,business,leadership management,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,ambroise huret,approx 18 hour complete,
big history connecting knowledge,art humanity,history,course,english,subtitle arabic french portuguese european italian catalan vietnamese german russian english spanish romanian,,a/professor iain hay,approx 28 hour complete,
ai business future work,business,business strategy,course,english,subtitle english,,anamaria dutceac segesten,approx 11 hour complete,
sport marketing,business,marketing,course,english,subtitle arabic french portuguese european italian portuguese brazilian vietnamese german russian turkish english spanish,,candy lee,approx 13 hour complete,
curanderismo traditional healing using plant,art humanity,history,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,eliseo cheo torres,approx 14 hour complete,
financial acumen non-financial manager,business,business essential,course,english,subtitle french portuguese european russian english spanish,,richard lambert,approx 8 hour complete,
making architecture,art humanity,music art,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,nenad katic,approx 13 hour complete,
equine welfare management,health,animal health,course,english,subtitle french portuguese european russian english spanish,,claudia sonder dvm,approx 18 hour complete,
machine learning,computer science,software development,course,english,subtitle arabic french portuguese european italian vietnamese korean german russian english spanish,,prof marco gillie,approx 21 hour complete,
introduction quantum information,math logic,math logic,course,english,subtitle english,,joonwoo bae,approx 10 hour complete,
foundation assisting home care,health,patient care,course,english,subtitle english,,erin o'hara-leslie,approx 75 hour complete,
engineering health introduction yoga physiology,health,basic science,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,alexandra seidenstein,approx 53 hour complete,
queering identity lgbtq+ sexuality gender identity,social science,education,course,english,subtitle arabic french portuguese european italian vietnamese german russian english spanish,,jacob mcwilliams,approx 19 hour complete,
aboriginal worldviews education,social science,education,course,english,subtitle french portuguese european russian english spanish,,jean-paul restoule,approx 13 hour complete,
